# Benjamin Haibe-Kains. All rights reserved.
# modelname: EEI
# mean.1: -0.786424 -0.699885
# mean.2: 0.0259983 0.736014
# mean.3: 0.539605 -0.509828
# sigma: 0.0742857 0.0543618
# pro: 0.299419 0.139535 0.561047
# scale: 0.0635476
# shape: 1.16898 0.855449
# cutoff.AURKA: -0.202763
"module","probe","EntrezGene.ID","coefficient"
"","202330_s_at","7374","17.1083"
"","205933_at","26040","-17.0727"
"","208433_s_at","7804","17.0662"
"","216484_x_at","3068","17.0517"
"","203856_at","7443","17.0455"
"","208335_s_at","2532","-17.0453"
"","212695_at","1408","-17.0443"
"","209869_at","150","-17.0407"
"","200875_s_at","10528","17.0213"
"","202666_s_at","86","17.005"
"","208029_s_at","55353","17.0042"
"","211734_s_at","2205","-16.9912"
"","217916_s_at","51571","16.9908"
"","209543_s_at","947","-16.9698"
"","212251_at","92140","16.908"
"","215728_s_at","11332","16.8973"
"","202264_s_at","10452","16.8474"
"","213140_s_at","26039","16.7968"
"","212247_at","23165","16.778"
"","204455_at","667","-16.7744"
"","203799_at","9936","-16.749"
"","209002_s_at","57658","-16.6613"
"","212141_at","4173","16.6449"
"","218728_s_at","29097","16.5852"
"","204695_at","993","16.5699"
"","202200_s_at","6732","16.5626"
"","205883_at","7704","-16.5538"
"","221970_s_at","25926","16.5026"
"","205381_at","10234","-16.4744"
"","206052_s_at","7884","16.4442"
"","218350_s_at","51053","16.4228"
"","214427_at","4839","16.4048"
"","219440_at","10742","-16.4014"
"","202992_at","730","-16.4004"
"","212563_at","23246","16.3748"
"","220840_s_at","55732","16.3608"
"","210457_x_at","3159","16.3585"
"","210074_at","1515","16.3529"
"","203663_s_at","9377","16.3364"
"","209899_s_at","22827","16.2923"
"","209222_s_at","9885","16.2844"
"","203023_at","51491","16.2816"
"","201277_s_at","3182","16.2734"
"","204472_at","2669","-16.2483"
"","216264_s_at","3913","-16.2323"
"","221909_at","84900","16.2305"
"","216153_x_at","57405","16.2175"
"","209613_s_at","125","-16.2154"
"","203832_at","6636","16.2131"
"","202854_at","3251","16.2033"
"","209096_at","7336","16.1993"
"","219308_s_at","26289","-16.1967"
"","212915_at","23024","-16.1779"
"","219121_s_at","54845","16.1764"
"","212430_at","55544","16.1673"
"","222146_s_at","6925","-16.1272"
"","205292_s_at","3181","16.0843"
"","219512_at","79980","16.05"
"","221796_at","4915","-16.0382"
"","201185_at","5654","-16.0306"
"","209070_s_at","8490","-16.0254"
"","206550_s_at","9631","16.0186"
"","205384_at","5348","-16.0117"
"","203564_at","2189","16.0047"
